2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.5% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.6% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.6% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.6% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.6% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.6% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.7% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.7% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.7% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.7% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.7% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.7% - pulling e9758e589d44
2025-12-16 23:17:47 | VLMProcessor | INFO     |   Progress: 1.8% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.8% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.8% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.8% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.8% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.8% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.9% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.9% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.9% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.9% - pulling e9758e589d44
